Q0WV96	AT1G01010
Q9LQ73	AT1G01820
Q93YW3	AT1G01830
Q9LQ72	AT1G01830
A0A178W6N6	AT1G01840
A0A178WPV1	AT1G01860
A0A178WQU2	AT1G01860
A0A1P8ATD7	AT1G01860
A0A384L9Y3	AT1G01860
O65090	AT1G01860
A0A1P8APG4	AT1G01880
F4HU71	AT1G01880
Q9LPD2	AT1G01880
Q84WS0	AT1G01900
A0A178WLD8	AT1G01910
A0A178WMJ0	AT1G01910
B3H5S5	AT1G01910
F4HU77	AT1G01910
Q949M9	AT1G01910
A0A178W044	AT1G01920
A0A178W1A9	AT1G01920
A0A178W2X7	AT1G01920
A0A1P8ATS4	AT1G01920
A0A1P8ATT8	AT1G01920
A0A1P8ATV6	AT1G01920
F4HU79	AT1G01920
A0A178WFV1	AT1G01930
Q56X22	AT1G01930
A0A178WL95	AT1G01940
Q9LPC7	AT1G01940
A0A1P8AMI8	AT1G01950
F4HU83	AT1G01950
F4HU85	AT1G01950
Q9LPC6	AT1G01950
Q9LPC5	AT1G01960
Q9LPC4	AT1G01970
Q9LPC3	AT1G01980
Q9LPC2	AT1G01990
Q9LPC1	AT1G02000
A0A1P8AMM1	AT1G02010
A0A1P8AMM4	AT1G02010
A0A1P8AMM7	AT1G02010
F4HVU5	AT1G02010
Q9C5P7	AT1G02010
A0A1P8ATD0	AT1G02020
O23673	AT1G02020
Q3E6Y8	AT1G02020
Q39092	AT1G02030
A0A178W296	AT1G02040
Q3EDL3	AT1G02040
O23674	AT1G02050
O81908	AT1G02060
Q3EDL2	AT1G02065
Q8GXL3	AT1G02065
A0A1P8AU44	AT1G02067
A0A178WCR5	AT1G02070
Q8LE17	AT1G02070
A0A1P8ARB7	AT1G02080
F4HVV6	AT1G02080
F4HVV7	AT1G02080
A0A178W6J6	AT1G02090
Q94JU3	AT1G02090
F4HVW3	AT1G02100
Q8VY08	AT1G02100
Q56W45	AT1G02110
A0A1P8AQ01	AT1G02120
A0A1P8AQ22	AT1G02120
F4HVW5	AT1G02120
P28188	AT1G02130
O23676	AT1G02140
A0A178W1D7	AT1G02145
A8MR93	AT1G02145
Q8LPS6	AT1G02150
A8MQS6	AT1G02160
Q7XJE6	AT1G02170
Q8GYG8	AT1G02180
A0A178W820	AT1G02190
F4HVX7	AT1G02190
A0A1P8AN63	AT1G02205
A0A1P8AN85	AT1G02205
F4HVY0	AT1G02205
Q3E7L2	AT1G02210
Q5PP28	AT1G02220
O81913	AT1G02230
O81914	AT1G02250
O81915	AT1G02260
A0A1P8ATK3	AT1G02270
O81916	AT1G02270
O23680	AT1G02280
A0A178WCE2	AT1G02290
A0A178WNR0	AT1G02300
F4HVZ1	AT1G02300
Q56XY7	AT1G02300
Q93VC9	AT1G02305
A0A178WL81	AT1G02310
Q9FZ29	AT1G02310
Q3EDK7	AT1G02320
F4HVZ5	AT1G02330
Q9FZ27	AT1G02335
A0A1P8AWQ4	AT1G02340
Q9FE22	AT1G02340
F4HVZ8	AT1G02350
A0A178WGG8	AT1G02360
A0A1P8AWZ7	AT1G02360
A0A1P8AX35	AT1G02360
Q9FZ24	AT1G02370
Q8GY74	AT1G02380
Q9FZ22	AT1G02390
A0A178W3I2	AT1G02400
A0A178WCV5	AT1G02400
A0A1P8AWJ2	AT1G02400
Q9FZ21	AT1G02400
Q6NMD9	AT1G02405
Q8GWR0	AT1G02410
Q9FZ19	AT1G02420
A0A1P8ARH7	AT1G02430
F4HXI4	AT1G02430
Q84VV7	AT1G02430
A0A1P8AVU2	AT1G02440
F4HXI5	AT1G02440
Q9FNZ5	AT1G02450
Q9FWX5	AT1G02460
A0A178WKS5	AT1G02470
A8MSF0	AT1G02470
F4HXI8	AT1G02470
Q8LBW6	AT1G02470
A0A178W8M2	AT1G02475
Q94K52	AT1G02475
Q3EDK6	AT1G02490
P23686	AT1G02500
Q9FWX6	AT1G02510
Q9FWX7	AT1G02520
A0A1P8ANT3	AT1G02530
Q9FWX8	AT1G02530
Q9FWX9	AT1G02540
A0A178WD91	AT1G02550
Q9S834	AT1G02560
Q1PFZ3	AT1G02570
A0A178WGQ4	AT1G02575
F4HXK1	AT1G02575
A0A1P8AVN9	AT1G02580
O65312	AT1G02580
F4HXK3	AT1G02590
A0A178W227	AT1G02610
A0A178W3R9	AT1G02610
A0A1P8AS75	AT1G02610
A0A1P8AS78	AT1G02610
F4HXK4	AT1G02610
Q3E6Q3	AT1G02620
Q84XI3	AT1G02630
Q94KD8	AT1G02640
A0A1P8ARE6	AT1G02650
F4HXL0	AT1G02660
A0A1P8ASB1	AT1G02670
A0A1P8ASB2	AT1G02670
A0A1P8ASB4	AT1G02670
A0A1P8ASC7	AT1G02670
A0A1P8ASE4	AT1G02670
A0A1P8ASG8	AT1G02670
F4HXL1	AT1G02670
Q6NQH4	AT1G02680
F4HXL3	AT1G02690
Q9FWY7	AT1G02690
A0A178WJA3	AT1G02700
A0A178WC67	AT1G02705
Q9FWY9	AT1G02720
Q9SRW9	AT1G02730
Q4V3E2	AT1G02740
A0A178W083	AT1G02750
A0A178W0Y0	AT1G02750
F4HXM2	AT1G02750
Q8GWK1	AT1G02750
Q9SRX1	AT1G02770
Q9SRX2	AT1G02780
P49062	AT1G02790
Q9SRX3	AT1G02800
Q9SRX4	AT1G02810
A0A178WJF8	AT1G02813
A0A178W3T1	AT1G02816
Q9SRX6	AT1G02820
Q9SRX7	AT1G02830
O22315	AT1G02840
A0A178W6X9	AT1G02850
A0A2H1ZE91	AT1G02850
B3H5Q1	AT1G02850
Q570I7	AT1G02850
A0A1P8AR01	AT1G02860
Q9SRX9	AT1G02860
Q9SRY0	AT1G02870
A0A1P8ARA0	AT1G02880
B3H6N1	AT1G02880
B9DGU7	AT1G02880
F4HZ81	AT1G02890
F4HZ82	AT1G02890
Q9SRY3	AT1G02900
A0A1P8ANG6	AT1G02910
Q9SRY4	AT1G02910
Q9SRY5	AT1G02920
P42760	AT1G02930
A0A1P8ASP1	AT1G02940
A0A1P8AST6	AT1G02940
Q9SRY6	AT1G02940
A0A178WJ49	AT1G02950
A0A1P8AMT5	AT1G02950
B3H520	AT1G02950
Q84TK0	AT1G02950
A0A384L2G2	AT1G02960
C0Z2W6	AT1G02960
F4HZ93	AT1G02960
F4HZ95	AT1G02960
Q8GWB5	AT1G02960
F4HZ96	AT1G02965
Q8L4H0	AT1G02970
Q9SRZ0	AT1G02980
A0A1P8AM24	AT1G02990
F4HZA0	AT1G02990
Q8RXR8	AT1G02990
Q8RY16	AT1G03000
A0A1P8AM10	AT1G03010
A0A1P8AM39	AT1G03010
Q9SA69	AT1G03010
Q9SA68	AT1G03020
A0A1P8AMF1	AT1G03030
A0A1P8ASS1	AT1G03040
F4HZA7	AT1G03040
Q93Y00	AT1G03040
Q9SA65	AT1G03050
F4HZB1	AT1G03055
Q7XA78	AT1G03055
A0A178W7I4	AT1G03060
A0A1P8AT16	AT1G03060
A0A1P8AT19	AT1G03060
F4HZB2	AT1G03060
Q9SA63	AT1G03070
F4HZB5	AT1G03080
Q42523	AT1G03090
Q9SA60	AT1G03100
A0A178WIC9	AT1G03103
F4HZB9	AT1G03103
Q8L760	AT1G03106
A0A178VZV6	AT1G03110
A0A1P8ATY1	AT1G03120
Q9SA57	AT1G03120
Q9SA56	AT1G03130
Q9SA55	AT1G03140
Q8LGI8	AT1G03150
A0A1P8AUL2	AT1G03160
A0A1P8AUL4	AT1G03160
Q1KPV0	AT1G03160
Q8GXU9	AT1G03170
A0A178W5X4	AT1G03180
A0A178W7P5	AT1G03180
A0A1P8AVN6	AT1G03180
A0A384LKA4	AT1G03180
Q5Q0J2	AT1G03180
Q9ZVS0	AT1G03180
Q8W4M7	AT1G03190
A0A1P8ARL5	AT1G03210
Q9ZVS2	AT1G03210
Q9ZVS4	AT1G03220
A0A178WJ14	AT1G03230
A0A178WNQ5	AT1G03250
A0A1P8AQQ6	AT1G03250
A0A1P8AQZ8	AT1G03250
F4I0U6	AT1G03250
A0A178WAG9	AT1G03260
Q9ZVS8	AT1G03270
A0A178W4Q8	AT1G03280
Q93ZW3	AT1G03280
A0A1P8AT68	AT1G03290
A0A1P8AT82	AT1G03290
Q9ZVT0	AT1G03290
Q9ZVT1	AT1G03300
Q8L735	AT1G03310
Q9ZVT3	AT1G03320
Q1H595	AT1G03330
A0A178WAU2	AT1G03340
A0A178W020	AT1G03350
Q9ZVT7	AT1G03360
A0A178WF87	AT1G03365
Q9ZVT8	AT1G03365
A0A1P8AUR4	AT1G03370
Q9ZVT9	AT1G03370
Q8GUL1	AT1G03380
Q9LR83	AT1G03390
A0A1P8AQW5	AT1G03400
Q94A78	AT1G03400
A0A384LLI4	AT1G03410
Q43383	AT1G03410
A0A1P8AWM0	AT1G03430
Q682K6	AT1G03430
Q8L9T7	AT1G03430
A0A178WC83	AT1G03440
Q9LR79	AT1G03440
A0A1P8AQ82	AT1G03445
Q9LR78	AT1G03445
A0A178WA59	AT1G03457
A0A178WAT1	AT1G03457
Q8GZ26	AT1G03457
Q66GR8	AT1G03470
Q9LR75	AT1G03475
Q9LR74	AT1G03490
A0A2H1ZEA8	AT1G03495
Q56XS0	AT1G03495
Q9LR73	AT1G03495
Q9LR72	AT1G03510
A8MQE8	AT1G03520
Q9LR71	AT1G03520
Q9LR70	AT1G03530
Q9LR69	AT1G03540
A0A1P8AMF6	AT1G03550
A0A1P8AMG2	AT1G03550
A0A1P8AMG5	AT1G03550
A0A1P8AMH4	AT1G03550
A0A1P8AMJ6	AT1G03550
A0A1P8AMJ9	AT1G03550
Q9LR68	AT1G03550
Q9LR67	AT1G03560
Q9LR65	AT1G03590
Q9LR64	AT1G03600
A0A178WD37	AT1G03610
A0A1P8AV44	AT1G03610
A0A1P8APK4	AT1G03620
A0A1P8APM3	AT1G03620
A2RVK8	AT1G03620
F4I2F8	AT1G03630
O48741	AT1G03630
A0A178WJB2	AT1G03650
A0A178WME8	AT1G03660
F4I2G0	AT1G03660
F4I2G1	AT1G03670
O48737	AT1G03680
A0A178W3J8	AT1G03687
A2RVL4	AT1G03687
F4I2G4	AT1G03687
Q9LR57	AT1G03700
Q58G57	AT1G03710
A0A1P8ASQ4	AT1G03720
Q9LR55	AT1G03720
Q1ECK0	AT1G03730
Q9LR54	AT1G03730
F4I2H1	AT1G03740
Q9LR53	AT1G03740
F4I2H2	AT1G03750
A0A178W6X7	AT1G03760
Q9ZW98	AT1G03760
A0A1P8AWT6	AT1G03770
A0A1P8AWX4	AT1G03770
F4I2H4	AT1G03770
F4I2H5	AT1G03770
Q0WX00	AT1G03770
A0A178WE47	AT1G03780
F4I2H7	AT1G03780
Q9ZWA1	AT1G03790
Q9ZWA2	AT1G03800
A0A178WBE4	AT1G03810
A0A178W1S3	AT1G03820
A0A178WGP9	AT1G03830
Q8GXF4	AT1G03830
Q9ZWA5	AT1G03830
Q9ZWA6	AT1G03840
A0A178WH08	AT1G03850
A0A1P8AQF1	AT1G03850
Q84TF4	AT1G03850
Q9ZNT7	AT1G03860
Q9ZWA8	AT1G03870
P15456	AT1G03880
Q9ZWA9	AT1G03890
Q681Q7	AT1G03900
A0A1P8AX17	AT1G03905
Q3EDJ0	AT1G03905
A0A178WHR8	AT1G03910
F4I2J8	AT1G03910
A0A178WFU6	AT1G03920
A0A1P8AWP3	AT1G03920
F4I2K0	AT1G03920
Q9ZWB3	AT1G03930
A0A178WB40	AT1G03940
Q9ZWB4	AT1G03940
Q941D5	AT1G03950
A0A1P8AMC2	AT1G03960
A0A1P8AMC5	AT1G03960
A0A1P8AMG0	AT1G03960
Q84JI6	AT1G03960
P42777	AT1G03970
A0A1P8AVJ0	AT1G03980
A0A1P8AVN4	AT1G03980
A0A2H1ZEA1	AT1G03980
Q9ZWB7	AT1G03980
Q9ZWB8	AT1G03982
A0A178W689	AT1G03990
Q9ZWB9	AT1G03990
Q8L8R3	AT1G04000
Q9ZWC0	AT1G04000
Q4VCM1	AT1G04010
A0A178W540	AT1G04020
F4I442	AT1G04020
F4I443	AT1G04020
A0A384KQS2	AT1G04030
Q9ZWC3	AT1G04030
Q9ZWC4	AT1G04040
A0A1P8ANQ7	AT1G04050
Q946J2	AT1G04050
O64497	AT1G04070
A0A178W2Y2	AT1G04080
A0A178W4I0	AT1G04080
A0A1P8ATH2	AT1G04080
F4I448	AT1G04080
F4I450	AT1G04080
O64496	AT1G04080
Q93ZR3	AT1G04080
O64496	AT1G04090
Q501D1	AT1G04090
Q38828	AT1G04100
O64495	AT1G04110
A0A1P8AT08	AT1G04120
F4I454	AT1G04120
Q7GB25	AT1G04120
F4I456	AT1G04130
Q940R2	AT1G04130
F4I458	AT1G04140
Q94C94	AT1G04140
O64492	AT1G04150
A0A1P8ARX4	AT1G04160
F4I460	AT1G04160
O64490	AT1G04170
O64489	AT1G04180
A0A178WLS7	AT1G04190
A0A178WDQ3	AT1G04200
A0A1P8ATW4	AT1G04200
A0A1P8ATY2	AT1G04200
A0A178W6H8	AT1G04210
Q5XEP9	AT1G04220
A0A1P8ANS3	AT1G04230
Q94K10	AT1G04230
A0A1P8AT43	AT1G04240
Q38822	AT1G04240
P93830	AT1G04250
P93829	AT1G04260
F4I472	AT1G04270
Q08112	AT1G04270
Q0WUY1	AT1G04280
A0A1P8APX5	AT1G04290
P93828	AT1G04290
Q9ASQ1	AT1G04290
A0A178WDY3	AT1G04300
A0A178WEG8	AT1G04300
A0A1P8AR94	AT1G04300
A0A1P8ARC9	AT1G04300
A8MQL1	AT1G04300
A8MR11	AT1G04300
F4I476	AT1G04300
A0A178WDB2	AT1G04310
P93825	AT1G04310
A0A178W5E3	AT1G04330
A0A178WB80	AT1G04340
P93824	AT1G04350
P93823	AT1G04360
P93822	AT1G04370
A0A1P8ASV9	AT1G04380
P93821	AT1G04380
A0A178WA05	AT1G04390
P93820	AT1G04390
Q96524	AT1G04400
P93819	AT1G04410
Q8VZ23	AT1G04420
Q940J9	AT1G04430
Q5XF24	AT1G04440
A0A1P8AWD1	AT1G04445
P93815	AT1G04445
F4I5N6	AT1G04450
A0A1P8AQU8	AT1G04455
P93812	AT1G04470
P49690	AT1G04480
A0A1P8ARL2	AT1G04490
A0A384KB55	AT1G04490
P93811	AT1G04490
A0A1P8ATF4	AT1G04500
A0A1P8ATH6	AT1G04500
Q8GXK9	AT1G04500
F4I5P3	AT1G04510
Q94BR4	AT1G04510
Q6NM73	AT1G04520
Q8VZ31	AT1G04530
F4I5P7	AT1G04540
O23030	AT1G04540
F4I5P9	AT1G04550
Q38830	AT1G04550
A0A178W895	AT1G04555
Q1G400	AT1G04555
A0A178WQ99	AT1G04560
A0A1P8APB4	AT1G04570
F4I5Q2	AT1G04570
Q7G191	AT1G04580
F4I5Q5	AT1G04590
Q9C5I2	AT1G04590
A0A178W734	AT1G04600
A0A178WEH2	AT1G04600
F4I5Q6	AT1G04600
O23024	AT1G04610
A0A178W7H4	AT1G04620
Q8GS60	AT1G04620
Q8RWA7	AT1G04630
Q6AWV1	AT1G04635
Q9SXP7	AT1G04640
O23020	AT1G04645
A0A1P8AVU0	AT1G04650
F4I5R5	AT1G04650
O23018	AT1G04660
Q8L8Q2	AT1G04660
A0A178WIB5	AT1G04670
Q940Q1	AT1G04680
O23016	AT1G04690
A0A1P8AMW0	AT1G04700
A0A384KGW2	AT1G04700
Q8LF48	AT1G04710
A0A1P8ASP2	AT1G04730
F4I5S3	AT1G04730
A0A1P8AS81	AT1G04750
Q9ZTW3	AT1G04750
A0A178W9Q6	AT1G04760
Q9MAS5	AT1G04760
Q8L730	AT1G04770
A0A178W2B6	AT1G04778
A0A178WJQ3	AT1G04780
Q8LFL1	AT1G04780
Q9MAS7	AT1G04780
A0A178W947	AT1G04790
A0A178WRL5	AT1G04800
Q9MAT0	AT1G04810
Q0WV25	AT1G04820
A0A178WL94	AT1G04830
A0A178WN12	AT1G04830
A0A1P8AWI2	AT1G04830
F4I5T4	AT1G04830
Q9MAT2	AT1G04840
A0A178W2G7	AT1G04850
A0A1P8AW60	AT1G04850
Q8W4N3	AT1G04860
Q9MAT5	AT1G04870
Q9MAT6	AT1G04880
A0A178W5J8	AT1G04890
F4I759	AT1G04890
Q9MAT7	AT1G04890
A0A1P8AN26	AT1G04895
Q94C90	AT1G04900
Q8W486	AT1G04910
Q8RY24	AT1G04920
A0A178WG83	AT1G04930
A0A1P8AV54	AT1G04930
F4I764	AT1G04930
Q8L4Z1	AT1G04930
Q8GZ79	AT1G04940
A0A1P8ANR0	AT1G04945
A8MRX6	AT1G04945
F4I765	AT1G04945
Q0WTZ4	AT1G04945
Q9MAU3	AT1G04950
A0A178WJ83	AT1G04960
A8MRN9	AT1G04960
A0A178WB15	AT1G04970
A0A384KL15	AT1G04970
Q9MAU5	AT1G04970
A0A178W5Z5	AT1G04980
Q9MAU6	AT1G04980
A0A178W4H2	AT1G04985
A0A384LBS7	AT1G04985
A0A1P8AWC1	AT1G04990
A0A1P8AWC2	AT1G04990
A0A1P8AWC3	AT1G04990
Q570S8	AT1G04990
Q94AD9	AT1G04990
A0A178WMF8	AT1G05000
A0A1P8ATV0	AT1G05000
F4I780	AT1G05000
Q9ZVN4	AT1G05000
A0A1P8AMD1	AT1G05005
Q06588	AT1G05010
Q9ZVN6	AT1G05020
A0A1P8ANF6	AT1G05030
Q0WVE9	AT1G05030
A0A1P8ANE6	AT1G05035
B3H6T5	AT1G05040
Q9ZVN8	AT1G05040
Q0WLZ8	AT1G05055
Q9ZVN9	AT1G05055
Q9ZVP0	AT1G05060
A0A178W838	AT1G05065
Q3EDI6	AT1G05065
Q94AB8	AT1G05070
Q9ZVP2	AT1G05080
F4I792	AT1G05085
A0A178W341	AT1G05087
A0A1P8AV47	AT1G05087
A0A1P8AV76	AT1G05087
F4I793	AT1G05090
Q9ZVP5	AT1G05100
A0A1P8AWF9	AT1G05120
F4I795	AT1G05120
B3H718	AT1G05136
O23053	AT1G05140
O23052	AT1G05150
O23051	AT1G05160
A0A2H1ZEA5	AT1G05170
A8MRC7	AT1G05170
C0Z261	AT1G05180
F4I7A3	AT1G05180
F4I7A4	AT1G05180
P42744	AT1G05180
O23049	AT1G05190
A0A178W3A9	AT1G05200
A0A1P8AP10	AT1G05200
A0A1P8AP36	AT1G05200
Q8GXJ4	AT1G05200
A0A178W8R1	AT1G05210
A0A1P8AUV2	AT1G05230
B3H6Y4	AT1G05230
Q94C37	AT1G05230
P0DI10	AT1G05240
A0A178WN68	AT1G05250
Q67Z07	AT1G05250
O23044	AT1G05260
Q8GXY6	AT1G05270
A0A1P8AQE7	AT1G05280
F4I8P5	AT1G05280
A0A178WE36	AT1G05291
F4I8P9	AT1G05300
O23039	AT1G05300
O23038	AT1G05310
A0A1P8AQX3	AT1G05320
F4I8Q1	AT1G05320
Q56WB1	AT1G05320
O23036	AT1G05330
O23035	AT1G05340
O23034	AT1G05350
C0Z3L0	AT1G05360
F4I8Q7	AT1G05360
F4I8Q8	AT1G05370
Q7Y221	AT1G05380
Q9ZW00	AT1G05380
A0A1P8ASY3	AT1G05385
Q9ZVZ9	AT1G05385
Q5XVL8	AT1G05400
Q9LR50	AT1G05400
B9DGV7	AT1G05410
A0A1P8AWY8	AT1G05420
F4I8R6	AT1G05420
Q5Q0I8	AT1G05440
Q9ZVZ4	AT1G05440
Q1G2Y5	AT1G05450
Q8LBJ6	AT1G05450
A0A1P8AMM9	AT1G05460
Q8GYD9	AT1G05460
Q9LR47	AT1G05470
F4I8S3	AT1G05490
A0A1P8APH4	AT1G05500
Q8L706	AT1G05500
Q9ZVY7	AT1G05510
A0A178W7U4	AT1G05520
Q9ZVY5	AT1G05530
A0A178WJ75	AT1G05540
Q9ZVY4	AT1G05540
F4I8S9	AT1G05550
F4I8T0	AT1G05550
F4I8T1	AT1G05550
A0A1P8AP70	AT1G05560
Q9LR44	AT1G05560
F4I8T3	AT1G05570
Q9AUE0	AT1G05570
Q8LC91	AT1G05575
Q9SYJ8	AT1G05577
Q8VYD4	AT1G05580
Q9SYK0	AT1G05590
Q9SYK1	AT1G05600
A0A1P8ATP5	AT1G05610
F4I8U2	AT1G05610
F4I8U3	AT1G05615
Q8LAC4	AT1G05620
A0A178WMF7	AT1G05630
A0A178WNH1	AT1G05630
A0A178WPL8	AT1G05630
A0A1P8AU01	AT1G05630
Q9SYK4	AT1G05630
Q9SYK5	AT1G05640
Q9SYK6	AT1G05650
Q9SYK7	AT1G05660
Q0WVK7	AT1G05670
P0C7P7	AT1G05675
Q9SYK9	AT1G05680
Q9SYL0	AT1G05690
A0A1P8AQG2	AT1G05700
C0LGD6	AT1G05700
A0A178W9Z7	AT1G05710
A0A1P8AVJ7	AT1G05710
A0A1P8AVK1	AT1G05710
Q7XJU2	AT1G05710
A0A178W3Q1	AT1G05720
Q9SYL3	AT1G05720
A0A1P8AV61	AT1G05730
Q5BQ23	AT1G05730
Q9SYL5	AT1G05740
Q9MA50	AT1G05750
A0A1P8APH7	AT1G05760
D5K201	AT1G05760
D5K204	AT1G05760
Q9SE37	AT1G05760
Q9MA49	AT1G05770
A0A178WLF0	AT1G05780
A0A1P8AQA7	AT1G05783
A0A1P8AP49	AT1G05785
A0A1P8AP61	AT1G05785
A0A1P8AP81	AT1G05785
A0A384KWJ8	AT1G05785
A0A1P8AU29	AT1G05790
A0A1P8AU43	AT1G05790
A8MRJ1	AT1G05790
Q0WQ61	AT1G05790
Q9MA46	AT1G05800
A0A178W7Y3	AT1G05805
A0A178W8T0	AT1G05805
Q8H102	AT1G05805
A0A178WE25	AT1G05810
P19892	AT1G05810
A0A1P8AWA1	AT1G05820
A0A1P8AWF6	AT1G05820
B3H5D5	AT1G05820
Q9MA44	AT1G05820
P0CB22	AT1G05830
A8MS78	AT1G05835
F4IAD5	AT1G05840
Q9MA41	AT1G05850
A0A1P8AVI7	AT1G05860
Q9MA40	AT1G05860
Q8GXS7	AT1G05870
Q9MA39	AT1G05870
A0A1P8AVA0	AT1G05880
Q84RQ9	AT1G05880
A0A178W7Q7	AT1G05890
A0A178W9R0	AT1G05890
F4IAE4	AT1G05890
Q8L829	AT1G05890
Q9MA36	AT1G05894
B9DFZ0	AT1G05900
F4IAE9	AT1G05910
Q5RM09	AT1G05920
Q9MA32	AT1G05930
A0A1P8AU02	AT1G05940
A0A1P8AU13	AT1G05940
A0A1P8AU30	AT1G05940
Q9C5D6	AT1G05940
A0A178W4P4	AT1G05950
A0A1P8ANL7	AT1G05950
A0A1P8ANN2	AT1G05950
A0A1P8ANN5	AT1G05950
Q9LNE9	AT1G05950
F4IAF5	AT1G05960
F4IAF6	AT1G05960
Q94KD1	AT1G05960
Q8L7G5	AT1G05970
Q9LNE8	AT1G05970
Q9LNE7	AT1G05990
Q1G3D2	AT1G06000
Q9LNE6	AT1G06000
Q84R19	AT1G06010
Q9LNE4	AT1G06020
Q9LNE3	AT1G06030
F4IBY7	AT1G06040
Q96288	AT1G06040
